mol_id,product,exact_match,match_count,building_block_hit,reactants_total,reactants_match
mol_124,O=C(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,0,-1,0,4,0
mol_125,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(I)c2)c(I)c1,0,-1,0,4,0
mol_126,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,0,-1,0,3,0
mol_127,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,0,-1,0,3,0
mol_128,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(I)c2)c(I)c1)C(=O)O,0,-1,0,3,0
mol_129,N[C@@H](Cc1ccc(Oc2cc(I)c(O)c(I)c2)cc1)C(=O)O,0,-1,0,4,0
mol_130,N[C@@H](Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0,-1,0,3,0
mol_131,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0,-1,0,2,0
mol_136,CC(C)CNO,1,2,1,2,2
mol_141,CC(C)=C[C@@H]1[C@@H](C=O)C1(C)C,0,0,1,3,1
mol_142,CC(C)=C[C@@H]1[C@@H](CO)C1(C)C,0,0,1,2,1
mol_143,C=CC(C)(CO)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,0,1,1,3,2
mol_144,C=C[C@]1(C)CO1,0,0,1,2,1
mol_145,C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O)CO,1,2,1,2,2
mol_151,CNc1ccccc1C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,2,1,2,2
mol_160,CC(C)=CCC/C(C)=C/CC/C(C)=C/C[C@@H](O)/C=C(\C)CC/C=C(\C)CCC=C(C)C,1,2,1,2,2
mol_161,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CCC(C)CCOP(=O)(O)O,1,4,1,4,4
mol_162,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CCC(C)CCO,1,3,1,3,3
mol_163,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CO,1,2,1,2,2
mol_164,Cc1cc2c(cc1O)C(C)(O)C(=O)C=C2C(C)C,1,3,1,3,3
mol_165,Cc1cc2c(C(C)C)cc(O)c(C)c2cc1O,1,2,1,2,2
mol_166,COc1c(O)c(C=O)c2c(O)c(-c3c(O)cc4c(C=O)c(O)c(OC)c(C(C)C)c4c3C)c(C)cc2c1C(C)C,0,4,1,6,5
mol_167,CC(C)=CCC1C(C)=CCC2C(=O)c3c(C=O)c(O)c(O)c(C(C)C)c3C(=O)C21C,0,1,1,6,2
mol_168,Cc1cc2c3c(c(O)c(O)c(C(C)C)c3c1)CO2,0,1,1,3,2
mol_169,CC1=C[C@@H]2C(=C(C)CC[C@H]2C(C)C)C(O)C1,0,0,1,2,1
mol_170,CC1=C2[C@@H](O)C[C@H](C)[C@]23CC[C@@H](C3)C1(C)C,0,0,1,2,1
mol_171,C[C@@H]1CC[C@H]2C(CO)=C[C@@H]3CC(C)(C)CC312,0,0,1,2,1
mol_172,C[C@@H]1CC[C@H]2C(C=O)=C[C@@H]3CC(C)(C)C[C@]312,0,0,1,3,1
mol_173,C[C@@H]1CC[C@H]2C(CO)=C[C@@H]3CC(C)(C)C[C@]312,0,0,1,2,1
mol_174,CC1(C)C[C@H]2[C@H](C=C(CO)[C@]3(O)[C@H](O)C[C@]23C)C1,0,0,1,2,1
mol_175,CC1(C)CCC=C([C@@H]2CC=C(CO)CC2)C1,0,1,1,3,2
mol_176,CC1=CC[C@@H](C2=CCCC(C)(C)C2)CC1,0,0,1,2,1
mol_177,C=C(C=O)[C@H]1C/C=C(\C)CC/C=C(\C)CC1,1,3,1,3,3
mol_178,C=C(CO)[C@H]1C/C=C(\C)CC/C=C(\C)CC1,0,0,1,2,1
mol_179,CC1=CC2OC3C[C@@H](OC(=O)/C=C\C=C\C=C\C(=O)O)[C@@](C)(C34CO4)[C@@]2(C)CC1,0,0,1,7,1
mol_180,CC1=CC[C@@](C)([C@@]2(C)CC(O)CC23CO3)CC1,0,-1,0,3,0
mol_181,C=C1CC(O)C[C@]1(C)[C@]1(C)CC=C(C)CC1,0,0,1,2,1
mol_182,C[C@H]1CCC[C@@]2(C)CCC=CC12,0,0,1,2,1
mol_183,C/C1=C\CC(C)(C)/C=C/C(=O)/C(C)=C/CC1,1,3,1,3,3
mol_184,C/C1=C\CC(C)(C)/C=C/C(O)/C(C)=C/CC1,1,2,1,2,2
mol_185,CC(=O)OC1C[C@@H](C)[C@H](C=O)[C@@]2(O)[C@@H]1C(C)(C)C[C@]2(C)C=O,0,-1,0,2,0
mol_186,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,0,0,1,7,1
mol_187,C=C(C=O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21,0,0,1,3,1
mol_188,C=C(CO)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21,0,0,1,2,1
mol_189,C=C(C)[C@@H]1CC[C@@]2(C1)[C@@H](CO)C[C@@H](O)[C@H](O)[C@H]2C,0,0,1,8,1
mol_190,C=C(C)[C@@H]1CC[C@@]2(C1)C(C)=CC(=O)C[C@H]2C,0,0,1,3,1
mol_191,C=C(C)[C@@H]1CC[C@@]2(C1)C(C)=CC(O)C[C@H]2C,0,0,1,2,1
mol_192,C=C1[C@H](C)[C@@]2(C)C(C)=C(C)[C@](C)([C@@H]2C)[C@@H]1C,0,0,1,2,1
mol_193,CC1(C)CCC[C@@]2(C)[C@H]1CC=C(CO)[C@@H]2CO,0,0,1,2,1
mol_194,CC1(C)C[C@@H]2[C@@H]1CC[C@@]1(C)CCC[C@]2(O)C1,0,0,1,2,1
mol_198,CC1(C)[C@@H]2CC[C@@]1(C)[C@](C)(O)C2,0,0,1,2,1
mol_199,C=C(C)[C@@H]1CC[C@](C)(O)C(=O)C1,0,-1,0,4,0
mol_200,C=C(C)[C@@H]1CC[C@](C)(O)[C@@H](O)C1,0,0,1,3,1
mol_201,C=C(C)[C@@H]1CCC2(C)OC2C1,0,0,1,2,1
mol_202,C=C(C)[C@H]1CC=C(C(=O)O)CC1,0,0,1,4,1
mol_203,C=C(C)[C@H]1CC=C(C=O)CC1,0,0,1,3,1
mol_204,C=C(C)[C@H]1CC=C(CO)CC1,0,0,1,2,1
mol_205,C=CC(=C)CC(=O)C=C(C)C,1,3,1,3,3
mol_206,C=CC(=C)C[C@@H](O)C=C(C)C,1,2,1,2,2
mol_207,C=CC(=C)C[C@H](O)C=C(C)C,1,2,1,2,2
mol_208,CC1(C)CC2CC1C(C)(C)C2=O,0,2,1,3,3
mol_209,C=C1C2CC(C(C)(C)C2)C1(C)C,0,1,1,2,2
mol_210,CC1(C)C2CCC1C(=O)C2,0,2,1,3,3
mol_211,C=C1CC2CCC1C2(C)C,0,1,1,2,2
mol_212,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0,0,1,3,1
mol_213,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,0,0,1,2,1
mol_214,CC12CCC(C1)C(C)(C)C2=O,0,1,1,2,2
mol_215,C/C(=C\CC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,0,0,1,7,1
mol_216,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC[C@H](C)CCCC(C)C,1,3,1,3,3
mol_217,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,1,2,1,2,2
mol_218,C/C(=C\CO)CC[C@]1(C)[C@@H](C)CC=C2[C@H]1CCCC2(C)C,0,0,1,2,1
mol_219,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)C[C@H](O)C3=C(C)C[C@H](O)[C@@H](C[C@H]12)C3(C)C,0,0,1,5,1
mol_220,C=C1[C@@H](OC(C)=O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,0,0,1,3,1
mol_221,C=C1[C@@H](O)CC[C@@]2(C)CCC3=C(C)[C@@H](O)C[C@@H](C[C@H]12)C3(C)C,0,0,1,3,1
mol_222,C=C1[C@@H](O)CC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C,0,0,1,2,1
mol_223,CC1(C)C(=O)O[C@@H](O)[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@@H]21)[C@]1(C)OC13,0,0,1,4,1
mol_224,CC1=C[C@@]23CC[C@@H]4C(C)(C)[C@@H](O)[C@@H](O)C[C@@]4(C)[C@@H]2CC[C@@H]1C3,0,-1,0,4,0
mol_225,CC1=C[C@@]23CC[C@@H]4C(C)(C)C[C@@H](O)C[C@@]4(C)[C@@H]2CC[C@@H]1C3,0,0,1,3,1
mol_226,C[C@@]12CCC[C@@](C)(C(=O)O)C1CC[C@]13C=C(C(=O)O)[C@H](CCC21)C3,0,-1,0,5,0
mol_227,CC1(C)CCCC2(C)C1CCC13C=C(C(=O)O)C(CCC12)C3,0,1,1,3,2
mol_228,CC1=C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,0,0,1,2,1
mol_229,C=C[C@]1(C)C=C2CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]2CC1,0,-1,0,2,0
mol_230,C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)C[C@H](O)C[C@@]23C)[C@@H]1C,0,-1,0,3,0
mol_231,C=CC1=CC[C@@H]2[C@H](CCC3C(C)(C)[C@H](O)CC[C@]32C)[C@@H]1C,0,-1,0,3,0
mol_232,C=CC1=C[C@@H](O)[C@@H]2[C@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)[C@@H]1C,0,0,1,3,1
mol_233,C=CC1=CC[C@@H]2[C@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)[C@@H]1C,0,0,1,2,1
mol_234,C=C[C@@]1(C)C=C2[C@@H](O)C[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]2CC1,0,-1,0,3,0
mol_235,C=C[C@@]1(C)C=C2CC[C@@H]3C(C)(C)[C@H](O)CC[C@@]3(C)[C@]2(O)CC1,0,0,1,4,1
mol_236,C=C[C@@]1(C)C=C2CC[C@@H]3C(C)(C)[C@H](O)CC[C@@]3(C)[C@@H]2CC1,0,0,1,3,1
mol_237,C=C[C@@]1(C)C=C2CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]2CC1,0,-1,0,2,0
mol_238,C=C1[C@@H](O)CC[C@@H]2[C@]1(C)CC[C@@H]1C[C@@](C)(C(O)CO)CC[C@@]21C,0,0,1,5,1
mol_239,C=C1CCC[C@@H]2[C@]1(C)CC[C@@H]1C[C@@](C)(C3CO3)CC[C@@]21C,0,-1,0,3,0
mol_240,C=C[C@@]1(C)CC[C@@]2(C)[C@@H]3CCCC(=C)[C@@]3(C)CC[C@@H]2C1,0,0,1,2,1
mol_241,C=C[C@@]1(C)CC=C2[C@@H](CC[C@@H]3C(C)(C)CCC[C@@]23C)C1,0,-1,0,2,0
mol_242,C/C1=C\[C@H](O)CC(C)(O)/C=C/[C@H](C(C)C)CC/C(C)=C/CC1,0,0,1,2,1
mol_243,C/C1=C\[C@H](O)C[C@](C)(O)/C=C/[C@H](C(C)C)CC/C(C)=C/CC1,0,0,1,2,1
mol_244,CC(C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]([C@H](O)C[C@H]3CO)[C@@](C)(O)C/C=C/12,0,0,1,3,1
mol_245,CC(C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]([C@H](O)C[C@H]3C)[C@@](C)(O)C/C=C/12,0,0,1,2,1
mol_246,CC(C)=CCC/C(C)=C/CC/C(=C/CC/C(C)=C/CO)CO,1,2,1,2,2
mol_247,CC1=C2C[C@@]3(C)CCC(C(C)C)=C3CC(O)[C@H](C)[C@@H]2CC1,0,0,1,2,1
mol_248,COC(=O)[C@H]1CCC2=C(C)C(=O)C[C@H]3[C@@H]4C(C)(C)CC[C@]4(C)C[C@]213,0,0,1,2,1
mol_249,C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C,1,2,1,2,2
mol_252,CC(C)[C@@H]1CC[C@@]2(C)C[C@H]3[C@@H](CO)C[C@H](O)[C@@H]3[C@](C)(O)C/C=C/12,0,0,1,3,1
mol_253,CC(C)[C@@H]1CC[C@@]2(C)C[C@H]3[C@@H](C)C[C@H](O)[C@@H]3[C@](C)(O)C/C=C/12,0,0,1,2,1
mol_254,C=CC1(C)CC[C@@]2(O1)[C@H](C)CC[C@H]1C(C)(C)CCC[C@@]12C,0,0,1,2,1
mol_255,COc1ccc(/C=C/C(=O)c2c(OC)cc(O)c(CC=C(C)C)c2O)cc1,0,2,1,3,2
mol_256,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,0,1,1,2,1
mol_257,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,0,1,1,6,2
mol_258,O=C(CC(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1,1,3,1,3,3
mol_259,O=C1CC(O)(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1,2,1,2,2
mol_260,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,0,-1,0,4,0
mol_261,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,0,0,1,3,1
mol_262,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,0,-1,0,2,0
mol_263,Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@@H]2O)cc1,0,2,1,4,3
